id;start_date;end_date;language
1;2019-12-27T13:43:41;2019-12-27T11:33:56;SPANISH
2;2019-12-26T18:33:52;2019-12-27T13:38:17;SPANISH
3;2019-12-27T09:29:11;2019-12-26T20:03:20;FRENCH
4;2019-12-27T00:46:42;2019-12-27T12:18:08;FRENCH
5;2019-12-27T10:17:00;2019-12-27T15:03:59;FRENCH
6;2019-12-27T04:09:21;2019-12-27T16:17:35;FRENCH
7;2019-12-27T05:54:41;2019-12-26T23:45:32;FRENCH
8;2019-12-27T04:50:54;2019-12-27T15:07:02;SPANISH
9;2019-12-27T03:32:03;2019-12-27T00:13:26;SPANISH
10;2019-12-27T11:44:07;2019-12-26T22:18:37;SPANISH
